Name,Country,Role,Age,Height (cm),International Caps,International Goals
Simon KJAER,Denmark,Defender,29,191.0 cm,79,3
Jonas KNUDSEN,Denmark,Defender,26,187.0 cm,4,0
Andreas CHRISTENSEN,Denmark,Defender,22,188.0 cm,20,1
William KVIST,Denmark,Midfielder,33,184.0 cm,81,2
Thomas DELANEY,Denmark,Midfielder,27,180.0 cm,31,4
Nicolai JORGENSEN,Denmark,Forward,27,190.0 cm,34,8
Christian ERIKSEN,Denmark,Midfielder,26,181.0 cm,82,23
Martin BRAITHWAITE,Denmark,Forward,27,180.0 cm,24,1
Kasper DOLBERG,Denmark,Forward,21,187.0 cm,7,1
Mathias JORGENSEN,Denmark,Defender,28,191.0 cm,15,1
Henrik DALSGAARD,Denmark,Defender,29,190.0 cm,15,0
Viktor FISCHER,Denmark,Forward,24,181.0 cm,20,3
Jonas LOSSL,Denmark,Goalkeeper,29,195.0 cm,1,0
Jens LARSEN,Denmark,Defender,27,182.0 cm,16,1
Lukas LERAGER,Denmark,Midfielder,25,186.0 cm,5,0
Lasse SCHONE,Denmark,Midfielder,32,178.0 cm,39,3
Yussuf POULSEN,Denmark,Forward,24,193.0 cm,31,5
Andreas CORNELIUS,Denmark,Forward,25,195.0 cm,21,4
Frederik RONNOW,Denmark,Goalkeeper,26,190.0 cm,6,0
Sisto EMIRMIJA,Denmark,Forward,23,173.0 cm,18,1
Jaime PENEDO,Panama,Goalkeeper,37,183.0 cm,134,0
Michael MURILLO,Panama,Defender,22,183.0 cm,24,2
Harold CUMMINGS,Panama,Defender,26,180.0 cm,48,0
Fidel ESCOBAR,Panama,Defender,24,181.0 cm,26,1
Roman TORRES,Panama,Defender,32,188.0 cm,112,10
Gabriel GOMEZ,Panama,Midfielder,34,183.0 cm,145,11
Blas PEREZ,Panama,Forward,37,187.0 cm,119,43
Edgar BARCENAS,Panama,Midfielder,25,175.0 cm,32,0
Gabriel TORRES,Panama,Forward,30,173.0 cm,74,14
Ismael DIAZ,Panama,Forward,21,181.0 cm,9,2
Armando COOPER,Panama,Midfielder,31,175.0 cm,101,7
Jose CALDERON,Panama,Goalkeeper,33,190.0 cm,32,0
Adolfo MACHADO,Panama,Defender,33,181.0 cm,77,1
Valentin PIMENTEL,Panama,Midfielder,27,189.0 cm,23,1
Eric DAVIS,Panama,Defender,27,179.0 cm,40,0
Abdiel ARROYO,Panama,Forward,25,187.0 cm,35,5
Luis OVALLE,Panama,Defender,30,178.0 cm,26,0
Luis TEJADA,Panama,Forward,36,185.0 cm,106,43
Ricardo AVILA,Panama,Midfielder,21,182.0 cm,7,0
Anibal GODOY,Panama,Midfielder,28,180.0 cm,91,1
Jose Luis RODRIGUEZ,Panama,Midfielder,20,180.0 cm,5,0
Alex RODRIGUEZ,Panama,Goalkeeper,28,197.0 cm,6,0
Felipe BALOY,Panama,Defender,37,185.0 cm,101,4
Farouk BEN MUSTAPHA,Tunisia,Goalkeeper,29,192.0 cm,16,0
Syam BEN YOUSSEF,Tunisia,Defender,29,189.0 cm,44,1
Yohan BEN ALOUANE,Tunisia,Defender,31,185.0 cm,5,0
Yassine MERIAH,Tunisia,Defender,25,180.0 cm,20,1
Oussama HADDADI,Tunisia,Defender,26,184.0 cm,9,1
Rami BEDOUI,Tunisia,Defender,28,187.0 cm,11,3
Saifeddine KHAOUI,Tunisia,Forward,23,180.0 cm,6,0
Fakhreddine BEN YOUSSEF,Tunisia,Forward,27,189.0 cm,42,6
Anice BADRI,Tunisia,Midfielder,28,177.0 cm,13,3
Wahbi KHAZRI,Tunisia,Forward,27,182.0 cm,39,14
Dylan BRONN,Tunisia,Defender,23,186.0 cm,7,1
Ali MAALOUL,Tunisia,Defender,29,175.0 cm,49,8
Fertani SASSI,Tunisia,Midfielder,26,186.0 cm,44,4
Mohamed AMIN BEN AMOR,Tunisia,Midfielder,26,184.0 cm,27,2
Ahmed KHALIL,Tunisia,Forward,24,187.0 cm,3,0
Aymen MATHLOUTHI,Tunisia,Goalkeeper,34,182.0 cm,72,0
Ellyes SKHIRI,Tunisia,Midfielder,23,185.0 cm,8,0
Bassem SRARFI,Tunisia,Forward,21,176.0 cm,6,0
Saber Khlifa,Tunisia,Forward,32,183.0 cm,45,7
Ghaylen CHAALELI,Tunisia,Forward,24,179.0 cm,7,1
Hamdi NAGGUEZ,Tunisia,Defender,26,195.0 cm,19,5
Mouez HASSEN,Tunisia,Goalkeeper,23,186.0 cm,4,0
Naim SLITI,Tunisia,Forward,26,173.0 cm,22,3
Fernando MUSLERA,Uruguay,Goalkeeper,32,190.0 cm,105,0
Jose GIMENEZ,Uruguay,Defender,23,185.0 cm,46,6
Diego GODIN,Uruguay,Defender,32,187.0 cm,124,8
Guillermo VARELA,Uruguay,Defender,25,173.0 cm,5,0
Carlos SANCHEZ,Uruguay,Midfielder,34,172.0 cm,38,1
Rodrigo BENTANCUR,Uruguay,Midfielder,21,187.0 cm,12,0
Cristian RODRIGUEZ,Uruguay,Midfielder,33,178.0 cm,110,11
Nahitan NANDEZ,Uruguay,Midfielder,23,171.0 cm,17,0
Luis SUAREZ,Uruguay,Forward,31,182.0 cm,104,53
Giorgian DE ARRASCAETA,Uruguay,Forward,24,174.0 cm,16,2
Cristhian STUANI,Uruguay,Forward,32,184.0 cm,43,5
Martin CAMPANA,Uruguay,Goalkeeper,29,186.0 cm,1,0
Gaston SILVA,Uruguay,Defender,24,183.0 cm,17,0
Lucas TORREIRA,Uruguay,Midfielder,22,168.0 cm,8,0
Matias VECINO,Uruguay,Midfielder,27,188.0 cm,27,1
Maximiliano PEREIRA,Uruguay,Defender,34,173.0 cm,125,3
Diego LAXALT,Uruguay,Midfielder,25,177.0 cm,10,0
Maximiliano GOMEZ,Uruguay,Forward,22,186.0 cm,7,0
Sebastian COATES,Uruguay,Defender,28,196.0 cm,31,1
Jonathan URRETAVISCAYA,Uruguay,Forward,28,174.0 cm,5,0
Edinson CAVANI,Uruguay,Forward,31,184.0 cm,107,45
Martin CACERES,Uruguay,Defender,31,182.0 cm,81,4
Martin SILVA,Uruguay,Goalkeeper,35,186.0 cm,11,0
RUI PATRICIO,Portugal,Goalkeeper,30,188.0 cm,73,0
BRUNO ALVES,Portugal,Defender,37,187.0 cm,96,11
PEPE,Portugal,Defender,35,188.0 cm,102,6
MANUEL FERNANDES,Portugal,Midfielder,32,176.0 cm,15,3
RAPHAEL GUERREIRO,Portugal,Defender,25,170.0 cm,28,2
JOSE FONTE,Portugal,Defender,35,187.0 cm,35,0
CRISTIANO RONALDO,Portugal,Forward,33,187.0 cm,154,85
JOAO MOUTINHO,Portugal,Midfielder,32,170.0 cm,113,7
ANDRE SILVA,Portugal,Forward,23,184.0 cm,25,12
JOAO MARIO,Portugal,Midfielder,25,179.0 cm,40,2
BERNARDO SILVA,Portugal,Midfielder,24,173.0 cm,29,2
ANTHONY LOPES,Portugal,Goalkeeper,28,184.0 cm,7,0
RUBEN DIAS,Portugal,Defender,21,187.0 cm,1,0
WILLIAM,Portugal,Midfielder,26,188.0 cm,47,2
Ricardo PEREIRA,Portugal,Defender,25,175.0 cm,5,0
BRUNO FERNANDES,Portugal,Midfielder,24,175.0 cm,8,1
Gonçalo GUEDES,Portugal,Forward,22,179.0 cm,14,3
GELSON MARTINS,Portugal,Forward,23,186.0 cm,19,0
MARIO RUI,Portugal,Defender,27,168.0 cm,4,0
RICARDO QUARESMA,Portugal,Forward,35,174.0 cm,80,10
CEDRIC,Portugal,Defender,27,172.0 cm,32,1
BETO,Portugal,Goalkeeper,36,182.0 cm,14,0
ADRIEN SILVA,Portugal,Midfielder,29,175.0 cm,27,1
Maty RYAN,Australia,Goalkeeper,26,184.0 cm,47,0
Milos DEGENEK,Australia,Defender,24,187.0 cm,18,0
James MEREDITH,Australia,Defender,30,179.0 cm,2,0
Tim CAHILL,Australia,Forward,39,180.0 cm,107,50
Mark MILLIGAN,Australia,Defender,33,178.0 cm,71,6
Matthew JURMAN,Australia,Defender,29,190.0 cm,4,0
Mathew LECKIE,Australia,Forward,27,182.0 cm,56,8
Massimo LUONGO,Australia,Midfielder,26,176.0 cm,36,5
Tomi JURIC,Australia,Forward,27,191.0 cm,38,8
Robbie KRUSE,Australia,Forward,30,180.0 cm,67,5
Andrew NABBOUT,Australia,Forward,26,178.0 cm,6,1
Brad JONES,Australia,Goalkeeper,36,194.0 cm,6,0
Aaron MOOY,Australia,Midfielder,28,174.0 cm,37,5
Jamie MacLAREN,Australia,Forward,25,174.0 cm,6,0
Mile JEDINAK,Australia,Midfielder,34,188.0 cm,79,20
Aziz BEHICH,Australia,Defender,28,171.0 cm,26,2
Daniel ARZANI,Australia,Forward,20,171.0 cm,5,1
Danny VUKOVIC,Australia,Goalkeeper,33,188.0 cm,1,0
Joshua RISDON,Australia,Defender,26,174.0 cm,11,0
Trent SAINSBURY,Australia,Defender,27,184.0 cm,38,3
Dimitrios PETRATOS,Australia,Forward,26,176.0 cm,2,0
Jackson IRVINE,Australia,Midfielder,25,180.0 cm,22,2
Tommy ROGIC,Australia,Midfielder,26,189.0 cm,40,7
Manuel NEUER,Germany,Goalkeeper,32,193.0 cm,79,0
Marvin PLATTENHARDT,Germany,Defender,26,181.0 cm,7,0
Jonas HECTOR,Germany,Defender,28,185.0 cm,40,3
Matthias GINTER,Germany,Defender,24,188.0 cm,18,0
Mats HUMMELS,Germany,Defender,30,191.0 cm,66,5
Sami KHEDIRA,Germany,Midfielder,31,189.0 cm,77,7
Julian DRAXLER,Germany,Midfielder,25,185.0 cm,46,6
Toni KROOS,Germany,Midfielder,29,182.0 cm,86,13
Timo WERNER,Germany,Forward,22,180.0 cm,17,8
Mesut OEZIL,Germany,Midfielder,30,183.0 cm,92,23
Marco REUS,Germany,Forward,29,180.0 cm,34,10
Kevin TRAPP,Germany,Goalkeeper,28,189.0 cm,3,0
Thomas MUELLER,Germany,Midfielder,29,186.0 cm,94,38
Leon GORETZKA,Germany,Midfielder,23,189.0 cm,16,6
Niklas SUELE,Germany,Defender,23,195.0 cm,12,0
Antonio RUEDIGER,Germany,Defender,25,190.0 cm,25,1
Jerome BOATENG,Germany,Defender,30,192.0 cm,73,1
Joshua KIMMICH,Germany,Defender,23,176.0 cm,32,3
Sebastian RUDY,Germany,Midfielder,28,180.0 cm,26,1
Julian BRANDT,Germany,Midfielder,22,185.0 cm,19,1
Ilkay GUNDOGAN,Germany,Midfielder,28,180.0 cm,27,4
Marc-Andre TER STEGEN,Germany,Goalkeeper,26,189.0 cm,20,0
Mario GOMEZ,Germany,Forward,33,189.0 cm,78,31
Keylor NAVAS,Costa Rica,Goalkeeper,32,185.0 cm,84,0
Johnny ACOSTA,Costa Rica,Defender,35,176.0 cm,69,2
Giancarlo GONZALEZ,Costa Rica,Defender,30,186.0 cm,71,2
Ian SMITH,Costa Rica,Defender,20,177.0 cm,5,0
Celso BORGES,Costa Rica,Midfielder,30,182.0 cm,114,18
Oscar DUARTE,Costa Rica,Defender,29,186.0 cm,38,2
Christian BOLANOS,Costa Rica,Midfielder,34,178.0 cm,84,7
Bryan OVIEDO,Costa Rica,Defender,28,172.0 cm,44,1
Daniel COLINDRES,Costa Rica,Midfielder,34,180.0 cm,13,0
Bryan RUIZ,Costa Rica,Midfielder,33,186.0 cm,114,24
Johan VENEGAS,Costa Rica,Forward,30,183.0 cm,49,10
Joel CAMPBELL,Costa Rica,Forward,26,178.0 cm,79,15
Rodney WALLACE,Costa Rica,Midfielder,30,178.0 cm,29,4
Randall AZOFEIFA,Costa Rica,Midfielder,34,183.0 cm,60,3
Francisco CALVO,Costa Rica,Defender,26,178.0 cm,38,4
Cristian GAMBOA,Costa Rica,Defender,29,173.0 cm,71,3
Yeltsin TEJEDA,Costa Rica,Midfielder,26,179.0 cm,50,0
Patrick PEMBERTON,Costa Rica,Goalkeeper,36,178.0 cm,39,0
Kendall WASTON,Costa Rica,Defender,31,196.0 cm,26,3
David GUZMAN,Costa Rica,Midfielder,28,176.0 cm,48,0
Marcos URENA,Costa Rica,Forward,28,179.0 cm,64,14
Kenner GUTIERREZ,Costa Rica,Defender,29,178.0 cm,9,0
Leonel MOREIRA,Costa Rica,Goalkeeper,28,177.0 cm,9,0
Vladimir STOJKOVIC,Serbia,Goalkeeper,35,195.0 cm,84,0
Antonio RUKAVINA,Serbia,Defender,34,177.0 cm,49,0
Dusko TOSIC,Serbia,Defender,33,184.0 cm,26,1
Luka MILIVOJEVIC,Serbia,Midfielder,27,182.0 cm,30,1
Uros SPAJIC,Serbia,Defender,25,186.0 cm,5,0
Branislav IVANOVIC,Serbia,Defender,34,182.0 cm,105,13
Andrija ZIVKOVIC,Serbia,Midfielder,22,170.0 cm,11,0
Aleksandar PRIJOVIC,Serbia,Forward,28,190.0 cm,10,1
Aleksandar MITROVIC,Serbia,Forward,24,189.0 cm,41,17
Dusan TADIC,Serbia,Midfielder,30,181.0 cm,56,12
Aleksandar KOLAROV,Serbia,Defender,33,187.0 cm,79,11
Predrag RAJKOVIC,Serbia,Goalkeeper,23,192.0 cm,8,0
Milos VELJKOVIC,Serbia,Defender,23,184.0 cm,3,0
Milan RODIC,Serbia,Defender,27,185.0 cm,1,0
Nikola MILENKOVIC,Serbia,Defender,21,195.0 cm,6,0
Marko GRUJIC,Serbia,Midfielder,22,190.0 cm,7,0
Filip KOSTIC,Serbia,Midfielder,26,184.0 cm,26,2
Nemanja RADONJIC,Serbia,Forward,22,185.0 cm,5,0
Luka JOVIC,Serbia,Forward,21,181.0 cm,2,0
Sergej MILINKOVIC-SAVIC,Serbia,Midfielder,23,192.0 cm,7,0
Nemanja MATIC,Serbia,Midfielder,30,194.0 cm,43,2
Adem Ljajic,Serbia,Midfielder,27,182.0 cm,33,6
Marko DMITROVIC,Serbia,Goalkeeper,26,194.0 cm,2,0
Hannes HALLDORSSON,Iceland,Goalkeeper,34,194.0 cm,52,0
Birkir SAEVARSSON,Iceland,Defender,34,187.0 cm,82,1
Samuel FRIDJONSSON,Iceland,Midfielder,22,185.0 cm,4,1
Albert GUDMUNDSSON,Iceland,Midfielder,21,177.0 cm,6,3
Sverrir INGASON,Iceland,Defender,25,188.0 cm,22,3
Ragnar SIGURDSSON,Iceland,Defender,32,187.0 cm,80,3
Johann GUDMUNDSSON,Iceland,Midfielder,28,186.0 cm,69,7
Birkir BJARNASON,Iceland,Midfielder,30,182.0 cm,70,9
Bjorn SIGURDARSON,Iceland,Forward,27,185.0 cm,16,1
Gylfi SIGURDSSON,Iceland,Midfielder,29,186.0 cm,60,20
Alfred FINNBOGASON,Iceland,Forward,29,184.0 cm,50,14
Frederik SCHRAM,Iceland,Goalkeeper,23,198.0 cm,4,0
Runar RUNARSSON,Iceland,Goalkeeper,23,186.0 cm,3,0
Kari ARNASON,Iceland,Defender,36,190.0 cm,69,5
Holmar EYJOLFSSON,Iceland,Defender,28,190.0 cm,10,1
Olafur SKULASON,Iceland,Midfielder,35,184.0 cm,36,1
Aron GUNNARSSON,Iceland,Midfielder,29,177.0 cm,80,2
Hordur MAGNUSSON,Iceland,Defender,25,190.0 cm,19,2
Rurik GISLASON,Iceland,Midfielder,30,184.0 cm,49,3
Emil HALLFREDSSON,Iceland,Midfielder,34,185.0 cm,66,1
Arnor TRAUSTASON,Iceland,Midfielder,25,183.0 cm,20,5
Jon BODVARSSON,Iceland,Forward,26,190.0 cm,39,2
Ari SKULASON,Iceland,Defender,31,170.0 cm,58,0
Jordan PICKFORD,England,Goalkeeper,24,185.0 cm,10,0
Kyle WALKER,England,Defender,28,178.0 cm,40,0
Danny ROSE,England,Defender,28,173.0 cm,23,0
Eric DIER,England,Midfielder,24,188.0 cm,32,3
John STONES,England,Defender,24,188.0 cm,33,2
Harry MAGUIRE,England,Defender,25,188.0 cm,12,1
Jesse LINGARD,England,Midfielder,26,174.0 cm,18,2
Jordan HENDERSON,England,Midfielder,28,182.0 cm,44,0
Harry KANE,England,Forward,25,188.0 cm,30,19
Raheem STERLING,England,Forward,24,170.0 cm,44,2
Jamie VARDY,England,Forward,32,178.0 cm,26,7
Kieran TRIPPIER,England,Defender,28,178.0 cm,13,1
Jack BUTLAND,England,Goalkeeper,25,196.0 cm,8,0
Danny Welbeck,England,Forward,28,185.0 cm,40,16
Gary CAHILL,England,Defender,33,188.0 cm,61,5
Phil JONES,England,Defender,26,180.0 cm,27,0
Fabian DELPH,England,Defender,29,174.0 cm,15,0
Ashley YOUNG,England,Defender,33,176.0 cm,39,7
Marcus RASHFORD,England,Forward,21,180.0 cm,25,3
Dele ALLI,England,Midfielder,22,188.0 cm,30,3
Ruben LOFTUS-CHEEK,England,Midfielder,22,190.0 cm,8,0
Trent ALEXANDER-ARNOLD,England,Defender,20,175.0 cm,2,0
Nick POPE,England,Goalkeeper,26,191.0 cm,1,0
Ikechukwu EZENWA,Nigeria,Goalkeeper,30,181.0 cm,24,0
Bryan IDOWU,Nigeria,Defender,26,179.0 cm,8,1
Elderson ECHIEJILE,Nigeria,Defender,30,185.0 cm,59,2
Onyinye NDIDI,Nigeria,Midfielder,22,187.0 cm,20,0
William EKONG,Nigeria,Defender,25,191.0 cm,24,1
Leon BALOGUN,Nigeria,Defender,30,190.0 cm,22,0
Ahmed MUSA,Nigeria,Forward,26,170.0 cm,73,15
Oghenekaro ETEBO,Nigeria,Midfielder,23,174.0 cm,15,1
Odion IGHALO,Nigeria,Forward,29,188.0 cm,22,4
John Obi MIKEL,Nigeria,Midfielder,31,188.0 cm,85,6
Victor MOSES,Nigeria,Forward,28,178.0 cm,34,12
Abdullahi SHEHU,Nigeria,Defender,25,181.0 cm,16,0
Simeon NWANKWO,Nigeria,Forward,26,197.0 cm,4,0
Kelechi IHEANACHO,Nigeria,Forward,22,185.0 cm,20,8
Daniel AKPEYI,Nigeria,Goalkeeper,32,186.0 cm,6,0
Ogenyi ONAZI,Nigeria,Midfielder,26,173.0 cm,50,1
Alexander IWOBI,Nigeria,Forward,22,180.0 cm,21,5
John OGU,Nigeria,Midfielder,30,192.0 cm,19,2
Chidozie AWAZIEM,Nigeria,Defender,22,189.0 cm,3,0
Tyronne EBUEHI,Nigeria,Defender,23,187.0 cm,8,0
Kenneth OMERUO,Nigeria,Defender,25,185.0 cm,40,0
Francis UZOHO,Nigeria,Goalkeeper,20,196.0 cm,9,0
Nahuel GUZMAN,Argentina,Goalkeeper,32,193.0 cm,6,0
Gabriel MERCADO,Argentina,Defender,31,181.0 cm,23,4
Nicolas TAGLIAFICO,Argentina,Defender,26,169.0 cm,8,0
Cristian ANSALDI,Argentina,Defender,32,181.0 cm,5,1
Lucas BIGLIA,Argentina,Midfielder,32,178.0 cm,58,1
Federico FAZIO,Argentina,Defender,31,195.0 cm,10,1
Ever BANEGA,Argentina,Midfielder,30,174.0 cm,65,6
Marcos ACUNA,Argentina,Defender,27,172.0 cm,11,0
Gonzalo HIGUAIN,Argentina,Forward,31,186.0 cm,75,31
Lionel MESSI,Argentina,Forward,31,170.0 cm,128,65
Angel DI MARIA,Argentina,Midfielder,30,180.0 cm,97,20
Franco ARMANI,Argentina,Goalkeeper,32,189.0 cm,2,0
Maximiliano MEZA,Argentina,Midfielder,26,180.0 cm,6,0
Javier MASCHERANO,Argentina,Defender,34,174.0 cm,147,3
Enzo PEREZ,Argentina,Midfielder,32,178.0 cm,26,1
Marcos ROJO,Argentina,Defender,28,187.0 cm,59,3
Nicolas OTAMENDI,Argentina,Defender,30,184.0 cm,58,4
Eduardo Salvio,Argentina,Defender,28,173.0 cm,11,0
Sergio AGUERO,Argentina,Forward,30,173.0 cm,89,39
Giovani LO CELSO,Argentina,Midfielder,22,177.0 cm,5,0
Paulo DYBALA,Argentina,Forward,25,177.0 cm,13,0
Cristian PAVON,Argentina,Midfielder,22,167.0 cm,9,0
Wilfredo CABALLERO,Argentina,Goalkeeper,37,186.0 cm,5,0
KIM Seunggyu,Korea Republic,Goalkeeper,28,187.0 cm,33,0
LEE Yong,Korea Republic,Defender,32,180.0 cm,31,0
JUNG Seunghyun,Korea Republic,Defender,24,188.0 cm,6,0
OH Bansuk,Korea Republic,Defender,30,189.0 cm,2,0
YUN Youngsun,Korea Republic,Defender,30,185.0 cm,7,0
PARK Jooho,Korea Republic,Defender,31,174.0 cm,37,0
SON Heungmin,Korea Republic,Forward,26,183.0 cm,70,23
JU Sejong,Korea Republic,Midfielder,28,176.0 cm,12,1
KIM Shinwook,Korea Republic,Forward,30,196.0 cm,51,10
LEE Seungwoo,Korea Republic,Midfielder,21,170.0 cm,6,0
HWANG Heechan,Korea Republic,Forward,22,177.0 cm,17,2
KIM Minwoo,Korea Republic,Defender,28,172.0 cm,22,1
KOO Jacheol,Korea Republic,Midfielder,29,183.0 cm,70,19
HONG Chul,Korea Republic,Defender,28,176.0 cm,16,0
JUNG Wooyoung,Korea Republic,Midfielder,29,186.0 cm,32,1
KI Sungyueng,Korea Republic,Midfielder,29,187.0 cm,108,10
LEE Jaesung,Korea Republic,Midfielder,26,180.0 cm,38,6
MOON Seonmin,Korea Republic,Midfielder,26,172.0 cm,5,1
KIM Younggwon,Korea Republic,Defender,28,184.0 cm,56,3
JANG Hyunsoo,Korea Republic,Defender,27,187.0 cm,54,3
KIM Jin Hyeon,Korea Republic,Goalkeeper,31,192.0 cm,15,0
GO Yohan,Korea Republic,Defender,30,170.0 cm,20,0
JO Hyeonwoo,Korea Republic,Goalkeeper,27,189.0 cm,9,0
Igor AKINFEEV,Russia,Goalkeeper,32,186.0 cm,111,0
MARIO FERNANDES,Russia,Defender,28,187.0 cm,10,1
Ilya KUTEPOV,Russia,Defender,25,190.0 cm,12,0
Sergey IGNASHEVICH,Russia,Defender,39,186.0 cm,127,9
Andrey SEMENOV,Russia,Defender,29,191.0 cm,6,0
Denis CHERYSHEV,Russia,Midfielder,28,179.0 cm,16,4
Daler KUZIAEV,Russia,Midfielder,25,182.0 cm,11,0
Iury GAZINSKY,Russia,Midfielder,29,180.0 cm,10,1
Alan Dzagoev,Russia,Midfielder,28,179.0 cm,59,9
Fedor Smolov,Russia,Forward,28,187.0 cm,37,12
Roman ZOBNIN,Russia,Midfielder,24,185.0 cm,17,0
Andrei LUNEV,Russia,Goalkeeper,27,189.0 cm,3,0
Fedor KUDRIASHOV,Russia,Defender,31,187.0 cm,23,0
Vladimir GRANAT,Russia,Defender,31,184.0 cm,13,1
Aleksey Miranchuk,Russia,Midfielder,23,182.0 cm,19,4
Anton MIRANCHUK,Russia,Midfielder,23,182.0 cm,6,0
Aleksandr GOLOVIN,Russia,Midfielder,22,178.0 cm,23,3
Yuri Zhirkov,Russia,Midfielder,35,178.0 cm,87,2
Aleksandr SAMEDOV,Russia,Midfielder,34,177.0 cm,53,7
Vladimir GABULOV,Russia,Goalkeeper,35,190.0 cm,10,0
Aleksandr EROKHIN,Russia,Midfielder,29,191.0 cm,19,0
Artem DZYUBA,Russia,Forward,30,191.0 cm,28,14
Igor SMOLNIKOV,Russia,Defender,30,178.0 cm,28,0
Thibaut COURTOIS,Belgium,Goalkeeper,26,199.0 cm,65,0
Toby ALDERWEIRELD,Belgium,Defender,29,187.0 cm,83,3
Thomas VERMAELEN,Belgium,Defender,33,183.0 cm,69,1
Vincent KOMPANY,Belgium,Defender,32,190.0 cm,82,4
Jan VERTONGHEN,Belgium,Defender,31,189.0 cm,110,9
Axel WITSEL,Belgium,Midfielder,30,186.0 cm,96,9
Kevin DE BRUYNE,Belgium,Midfielder,27,181.0 cm,68,15
Marouane FELLAINI,Belgium,Midfielder,31,194.0 cm,87,18
Romelu LUKAKU,Belgium,Forward,25,193.0 cm,75,40
Eden HAZARD,Belgium,Forward,28,170.0 cm,92,25
Yannick CARRASCO,Belgium,Midfielder,25,181.0 cm,30,5
Simon MIGNOLET,Belgium,Goalkeeper,30,193.0 cm,21,0
Koen CASTEELS,Belgium,Goalkeeper,26,197.0 cm,0,0
Dries MERTENS,Belgium,Forward,31,169.0 cm,75,15
Thomas MEUNIER,Belgium,Defender,27,190.0 cm,30,6
Thorgan HAZARD,Belgium,Midfielder,25,174.0 cm,13,1
Youri TIELEMANS,Belgium,Midfielder,21,176.0 cm,13,0
Adnan JANUZAJ,Belgium,Forward,23,180.0 cm,9,1
Moussa DEMBELE,Belgium,Midfielder,31,177.0 cm,80,5
Dedryck Boyata,Belgium,Defender,28,188.0 cm,10,0
Michy BATSHUAYI,Belgium,Forward,25,180.0 cm,19,8
Nacer CHADLI,Belgium,Midfielder,29,187.0 cm,51,6
Leander DENDONCKER,Belgium,Defender,23,188.0 cm,6,0
